Время захвата пакетов;Общее число захваченных пакетов;Число пакетов localhost;Число пакетов broadcast;Число UDP сегментов;Число TCP сегментов;Число пакетов с опциями;Число фрагментированных пакетов;Общая интенсивность пакетов;Количество пакетов типа FIN;Количество пакетов типа SIN;Число пакетов, входящих в сеть;Число UDP сегментов входящих в сеть;Число TCP сегментов, входящих в сеть;Число пакетов с опциями, входящих в сеть;Число фрагментированных пакетов, входящих в сеть;Интенсивность пакетов, входящих в сеть;Количество пакетов типа FIN, входящих в сеть;Количество пакетов типа SIN, входящих в сеть;Число пакетов, исходящих из сети;Число UDP сегментов, исходящих из сети;Число TCP сегментов, исходящих из сети;Число пакетов с опциями, исходящих из сети;Число фрагментированных пакетов, исходящих из сети;Интенсивность пакетов, исходящих из сети;Количество пакетов типа FIN, исходящих из сети;Количество пакетов типа SIN, исходящих из сети
16:34:40-16:34:45;55;0;3;15;40;0;0;11;0;3;20;0;20;0;0;4;0;0;32;12;20;0;0;6,4;0;3
16:34:45-16:34:50;15;0;2;10;3;0;0;3;0;1;1;0;1;0;0;0,2;0;0;10;8;2;0;0;2;0;1
16:34:50-16:34:55;25;0;1;13;10;0;0;5;0;2;4;0;4;0;0;0,8;0;0;18;12;6;0;0;3,6;0;2
16:34:55-16:35:00;41;0;3;12;28;0;0;8,2;0;2;15;0;15;0;0;3;0;0;22;9;13;0;0;4,4;0;2
16:35:00-16:35:06;54;0;5;7;46;0;0;10,8;0;3;22;0;22;0;0;4,4;0;0;26;2;24;0;0;5,2;0;3
16:35:06-16:35:11;226;0;6;38;183;5;0;45,2;0;14;88;0;88;0;0;17,6;0;0;132;32;95;5;0;26,4;0;14
16:35:11-16:35:16;70;0;5;7;63;0;0;14;0;5;32;0;32;0;0;6,4;0;0;33;2;31;0;0;6,6;0;5
16:35:16-16:35:21;28;0;5;7;19;0;0;5,6;0;2;9;0;9;0;0;1,8;0;0;12;2;10;0;0;2,4;0;2
16:35:21-16:35:26;848;0;11;34;809;5;0;169,6;0;11;581;0;581;0;0;116,2;0;0;256;23;228;5;0;51,2;0;11
16:35:26-16:35:31;204;0;6;11;193;0;0;40,8;0;2;122;0;122;0;0;24,4;0;0;76;5;71;0;0;15,2;0;2
16:35:31-16:35:36;69;0;4;5;64;0;0;13,8;0;6;33;0;33;0;0;6,6;0;0;32;1;31;0;0;6,4;0;6
16:35:36-16:35:41;219;0;7;15;204;0;0;43,8;0;13;100;0;100;0;0;20;0;0;112;8;104;0;0;22,4;0;13
16:35:41-16:35:46;56;0;1;5;51;0;0;11,2;0;2;26;0;26;0;0;5,2;0;0;29;4;25;0;0;5,8;0;2
16:35:46-16:35:51;9;0;1;1;6;0;0;1,8;0;1;3;0;3;0;0;0,6;0;0;3;0;3;0;0;0,6;0;1
16:35:51-16:35:56;43;0;3;11;32;0;0;8,6;0;2;15;0;15;0;0;3;0;0;25;8;17;0;0;5;0;2
16:35:56-16:36:01;43;0;3;14;28;0;0;8,6;0;3;13;0;13;0;0;2,6;0;0;26;11;15;0;0;5,2;0;3
16:36:01-16:36:06;11;0;1;1;10;0;0;2,2;0;0;5;0;5;0;0;1;0;0;5;0;5;0;0;1;0;0
16:36:06-16:36:11;221;0;3;39;176;5;0;44,2;0;13;86;0;86;0;0;17,2;0;0;131;36;90;5;0;26,2;0;13
16:36:11-16:36:16;88;0;1;2;86;0;0;17,6;0;7;43;0;43;0;0;8,6;0;0;44;1;43;0;0;8,8;0;7
16:36:16-16:36:21;40;0;1;3;37;0;0;8;0;3;20;0;20;0;0;4;0;0;19;2;17;0;0;3,8;0;3
16:36:21-16:36:26;18;0;3;12;6;0;0;3,6;0;1;2;0;2;0;0;0,4;0;0;13;9;4;0;0;2,6;0;1
16:36:26-16:36:31;20;0;3;15;5;0;0;4;0;1;2;0;2;0;0;0,4;0;0;15;12;3;0;0;3;0;1
16:36:31-16:36:36;769;0;1;10;759;0;0;153,8;0;8;569;0;569;0;0;113,8;0;0;199;9;190;0;0;39,8;0;8
16:36:36-16:36:41;324;0;3;13;311;0;0;64,8;0;15;167;0;167;0;0;33,4;0;0;154;10;144;0;0;30,8;0;15
16:36:41-16:36:46;119;0;1;11;108;0;0;23,8;0;4;57;0;57;0;0;11,4;0;0;61;10;51;0;0;12,2;0;4
16:36:46-16:36:51;87;0;1;3;82;0;0;17,4;0;2;44;0;44;0;0;8,8;0;0;40;2;38;0;0;8;0;2
16:36:51-16:36:56;19;0;3;16;1;0;0;3,8;0;1;0;0;0;0;0;0;0;0;14;13;1;0;0;2,8;0;1
16:36:56-16:37:01;25;0;3;11;13;0;0;5;0;2;6;0;6;0;0;1,2;0;0;15;8;7;0;0;3;0;2
16:37:01-16:37:06;73;0;1;5;68;0;0;14,6;0;4;33;0;33;0;0;6,6;0;0;39;4;35;0;0;7,8;0;4
16:37:06-16:37:11;205;0;1;21;181;3;0;41;0;13;88;0;88;0;0;17,6;0;0;116;20;93;3;0;23,2;0;13
16:37:11-16:37:16;50;0;1;12;38;0;0;10;0;3;18;0;18;0;0;3,6;0;0;31;11;20;0;0;6,2;0;3
16:37:16-16:37:21;18;0;1;8;6;0;0;3,6;0;2;2;0;2;0;0;0,4;0;0;11;7;4;0;0;2,2;0;2
16:37:21-16:37:26;56;0;3;20;36;0;0;11,2;0;2;20;0;20;0;0;4;0;0;33;17;16;0;0;6,6;0;2
16:37:26-16:37:31;22;0;3;17;5;0;0;4,4;0;1;2;0;2;0;0;0,4;0;0;17;14;3;0;0;3,4;0;1
16:37:31-16:37:36;55;0;1;18;33;4;0;11;0;3;16;0;16;0;0;3,2;0;0;38;17;17;4;0;7,6;0;3
16:37:36-16:37:41;214;0;1;20;184;10;0;42,8;0;14;89;0;89;0;0;17,8;0;0;124;19;95;10;0;24,8;0;14
16:37:41-16:37:46;67;0;1;21;45;1;0;13,4;0;4;22;0;22;0;0;4,4;0;0;44;20;23;1;0;8,8;0;4
16:37:46-16:37:51;86;0;1;49;10;24;0;17,2;0;1;5;0;5;0;0;1;0;0;77;48;5;24;0;15,4;0;1
16:37:51-16:37:56;272;0;8;124;81;67;0;54,4;0;3;55;0;55;0;0;11;0;0;209;116;26;67;0;41,8;0;3
16:37:56-16:38:01;95;0;12;40;48;6;0;19;0;1;26;0;26;0;0;5,2;0;0;56;28;22;6;0;11,2;0;1
16:38:01-16:38:06;342;0;15;53;284;5;0;68,4;0;12;178;1;177;0;0;35,6;0;0;149;37;107;5;0;29,8;0;12
16:38:06-16:38:11;286;0;13;37;243;5;0;57,2;0;11;149;0;149;0;0;29,8;0;0;123;24;94;5;0;24,6;0;11
16:38:11-16:38:16;84;0;10;58;21;5;0;16,8;0;0;11;0;11;0;0;2,2;0;0;63;48;10;5;0;12,6;0;0
16:38:16-16:38:21;25;0;7;20;5;0;0;5;0;1;2;0;2;0;0;0,4;0;0;16;13;3;0;0;3,2;0;1
16:38:21-16:38:26;33;0;3;7;26;0;0;6,6;0;3;10;0;10;0;0;2;0;0;20;4;16;0;0;4;0;3
16:38:26-16:38:31;15;0;2;6;9;0;0;3;0;1;4;0;4;0;0;0,8;0;0;9;4;5;0;0;1,8;0;1
16:38:31-16:38:36;4162;0;1;31;4116;15;0;832,4;0;18;3249;0;3249;0;0;649,8;0;0;912;30;867;15;0;182,4;0;18
16:38:36-16:38:41;1482;0;5;23;1449;10;0;296,4;0;2;1137;0;1137;0;0;227,4;0;0;340;18;312;10;0;68;0;2
16:38:41-16:38:46;42;0;1;12;29;0;0;8,4;0;1;14;0;14;0;0;2,8;0;0;26;11;15;0;0;5,2;0;1
16:38:46-16:38:51;55;0;3;26;23;4;0;11;0;2;11;0;11;0;0;2,2;0;0;39;23;12;4;0;7,8;0;2
16:38:51-16:38:56;231;0;3;30;183;15;0;46,2;0;1;140;0;140;0;0;28;0;0;85;27;43;15;0;17;0;1
16:38:56-16:39:01;236;0;2;14;222;0;0;47,2;0;2;166;0;166;0;0;33,2;0;0;68;12;56;0;0;13,6;0;2
16:39:01-16:39:06;1548;0;1;14;1529;5;0;309,6;0;0;1234;0;1234;0;0;246,8;0;0;313;13;295;5;0;62,6;0;0
16:39:06-16:39:11;10879;0;1;9;10870;0;0;2175,8;0;3;8751;0;8751;0;0;1750,2;0;0;2127;8;2119;0;0;425,4;0;3
16:39:11-16:39:16;1651;0;2;7;1644;0;0;330,2;0;1;1314;0;1314;0;0;262,8;0;0;335;5;330;0;0;67;0;1
16:39:16-16:39:21;8624;0;6;17;8606;0;0;1724,8;0;2;6952;0;6952;0;0;1390,4;0;0;1665;11;1654;0;0;333;0;2
16:39:21-16:39:26;20;0;1;3;17;0;0;4;0;1;8;0;8;0;0;1,6;0;0;11;2;9;0;0;2,2;0;1
16:39:26-16:39:31;60;0;1;7;53;0;0;12;0;4;25;0;25;0;0;5;0;0;34;6;28;0;0;6,8;0;4
16:39:31-16:39:36;5405;0;1;3;5402;0;0;1081;0;2;4413;0;4413;0;0;882,6;0;0;991;2;989;0;0;198,2;0;2
16:39:36-16:39:41;6512;0;4;5;6507;0;0;1302,4;0;0;5219;0;5219;0;0;1043,8;0;0;1289;1;1288;0;0;257,8;0;0
16:39:41-16:39:46;44;0;8;20;24;0;0;8,8;0;1;12;0;12;0;0;2,4;0;0;24;12;12;0;0;4,8;0;1
16:39:46-16:39:51;68;0;6;14;53;0;0;13,6;0;3;27;0;27;0;0;5,4;0;0;34;8;26;0;0;6,8;0;3
16:39:51-16:39:56;85;0;4;27;49;9;0;17;0;3;21;0;21;0;0;4,2;0;0;60;23;28;9;0;12;0;3
