Время захвата пакетов;Общее число захваченных пакетов;Число пакетов localhost;Число пакетов broadcast;Число UDP сегментов;Число TCP сегментов;Число пакетов с опциями;Число фрагментированных пакетов;Общая интенсивность пакетов;Количество пакетов типа FIN;Количество пакетов типа SIN;Число пакетов, входящих в сеть;Число UDP сегментов входящих в сеть;Число TCP сегментов, входящих в сеть;Число пакетов с опциями, входящих в сеть;Число фрагментированных пакетов, входящих в сеть;Интенсивность пакетов, входящих в сеть;Количество пакетов типа FIN, входящих в сеть;Количество пакетов типа SIN, входящих в сеть;Число пакетов, исходящих из сети;Число UDP сегментов, исходящих из сети;Число TCP сегментов, исходящих из сети;Число пакетов с опциями, исходящих из сети;Число фрагментированных пакетов, исходящих из сети;Интенсивность пакетов, исходящих из сети;Количество пакетов типа FIN, исходящих из сети;Количество пакетов типа SIN, исходящих из сети
17:15:34-17:15:39;322;0;1;15;307;0;0;64,4;0;18;163;0;163;0;0;32,6;0;0;158;14;144;0;0;31,6;0;18
17:15:39-17:15:44;163;0;1;17;146;0;0;32,6;0;3;89;0;89;0;0;17,8;0;0;73;16;57;0;0;14,6;0;3
17:15:44-17:15:50;61;0;1;20;40;0;0;12,2;0;1;24;0;24;0;0;4,8;0;0;35;19;16;0;0;7;0;1
17:15:50-17:15:55;2850;0;1;11;2839;0;0;570;0;16;2161;0;2161;0;0;432,2;0;0;688;10;678;0;0;137,6;0;16
17:15:55-17:16:00;123;0;4;23;100;0;0;24,6;0;1;63;1;62;0;0;12,6;0;0;56;18;38;0;0;11,2;0;1
17:16:00-17:16:05;245;0;1;31;214;0;0;49;0;2;134;1;133;0;0;26,8;0;0;110;29;81;0;0;22;0;2
17:16:05-17:16:10;181;0;1;28;153;0;0;36,2;0;0;96;1;95;0;0;19,2;0;0;84;26;58;0;0;16,8;0;0
17:16:10-17:16:15;166;0;1;27;139;0;0;33,2;0;0;93;1;92;0;0;18,6;0;0;72;25;47;0;0;14,4;0;0
17:16:15-17:16:20;181;0;1;45;131;5;0;36,2;0;0;88;1;87;0;0;17,6;0;0;92;43;44;5;0;18,4;0;0
17:16:20-17:16:25;199;0;1;24;175;0;0;39,8;0;1;116;1;115;0;0;23,2;0;0;82;22;60;0;0;16,4;0;1
17:16:25-17:16:30;172;0;3;32;139;0;0;34,4;0;1;89;1;88;0;0;17,8;0;0;79;28;51;0;0;15,8;0;1
17:16:30-17:16:35;410;0;2;39;362;9;0;82;0;17;199;1;198;0;0;39,8;0;0;209;36;164;9;0;41,8;0;17
17:16:35-17:16:40;113;0;1;22;90;0;0;22,6;0;1;58;2;56;0;0;11,6;0;0;54;19;34;0;0;10,8;0;1
17:16:40-17:16:45;135;0;1;21;114;0;0;27;0;0;74;1;73;0;0;14,8;0;0;60;19;41;0;0;12;0;0
17:16:45-17:16:50;178;0;1;20;158;0;0;35,6;0;0;106;1;105;0;0;21,2;0;0;71;18;53;0;0;14,2;0;0
17:16:50-17:16:55;118;0;1;20;98;0;0;23,6;0;0;62;1;61;0;0;12,4;0;0;55;18;37;0;0;11;0;0
17:16:55-17:17:00;208;0;3;29;179;0;0;41,6;0;2;111;0;111;0;0;22,2;0;0;94;26;68;0;0;18,8;0;2
17:17:00-17:17:05;407;0;1;11;395;0;0;81,4;0;20;219;0;219;0;0;43,8;0;0;186;10;176;0;0;37,2;0;20
17:17:05-17:17:10;103;0;1;5;96;0;0;20,6;0;1;62;0;62;0;0;12,4;0;0;38;4;34;0;0;7,6;0;1
17:17:10-17:17:15;73;0;1;3;68;0;0;14,6;0;0;43;0;43;0;0;8,6;0;0;27;2;25;0;0;5,4;0;0
17:17:15-17:17:20;117;0;1;23;87;5;0;23,4;0;1;57;0;57;0;0;11,4;0;0;57;22;30;5;0;11,4;0;1
17:17:20-17:17:25;137;0;1;4;133;0;0;27,4;0;0;89;0;89;0;0;17,8;0;0;47;3;44;0;0;9,4;0;0
17:17:25-17:17:30;141;0;4;14;127;0;0;28,2;0;4;78;0;78;0;0;15,6;0;0;59;10;49;0;0;11,8;0;4
17:17:30-17:17:35;380;0;1;20;350;9;0;76;0;18;187;0;187;0;0;37,4;0;0;191;19;163;9;0;38,2;0;18
17:17:35-17:17:40;155;0;1;4;151;0;0;31;0;0;98;0;98;0;0;19,6;0;0;56;3;53;0;0;11,2;0;0
17:17:40-17:17:45;133;0;1;2;131;0;0;26,6;0;1;85;0;85;0;0;17;0;0;47;1;46;0;0;9,4;0;1
17:17:45-17:17:50;114;0;1;9;104;0;0;22,8;0;0;69;0;69;0;0;13,8;0;0;43;8;35;0;0;8,6;0;0
17:17:50-17:17:55;106;0;1;1;105;0;0;21,2;0;1;69;0;69;0;0;13,8;0;0;36;0;36;0;0;7,2;0;1
17:17:55-17:18:00;151;0;3;9;139;0;0;30,2;0;2;86;0;86;0;0;17,2;0;0;59;6;53;0;0;11,8;0;2
17:18:00-17:18:05;366;0;1;3;363;0;0;73,2;0;18;198;0;198;0;0;39,6;0;0;167;2;165;0;0;33,4;0;18
17:18:05-17:18:10;135;0;1;7;128;0;0;27;0;1;83;0;83;0;0;16,6;0;0;51;6;45;0;0;10,2;0;1
17:18:10-17:18:15;123;0;1;3;120;0;0;24,6;0;1;79;0;79;0;0;15,8;0;0;43;2;41;0;0;8,6;0;1
17:18:15-17:18:20;115;0;1;22;88;5;0;23;0;2;62;0;62;0;0;12,4;0;0;52;21;26;5;0;10,4;0;2
17:18:20-17:18:25;169;0;1;5;164;0;0;33,8;0;3;104;0;104;0;0;20,8;0;0;64;4;60;0;0;12,8;0;3
17:18:25-17:18:30;94;0;1;5;87;0;0;18,8;0;1;57;0;57;0;0;11,4;0;0;34;4;30;0;0;6,8;0;1
17:18:30-17:18:35;358;0;1;19;328;11;0;71,6;0;17;175;0;175;0;0;35;0;0;182;18;153;11;0;36,4;0;17
17:18:35-17:18:40;203;0;1;4;199;0;0;40,6;0;4;124;0;124;0;0;24,8;0;0;78;3;75;0;0;15,6;0;4
17:18:40-17:18:45;224;0;2;10;214;0;0;44,8;0;3;137;0;137;0;0;27,4;0;0;85;8;77;0;0;17;0;3
17:18:45-17:18:50;102;0;1;6;96;0;0;20,4;0;2;61;0;61;0;0;12,2;0;0;40;5;35;0;0;8;0;2
17:18:50-17:18:55;132;0;1;3;129;0;0;26,4;0;2;81;0;81;0;0;16,2;0;0;50;2;48;0;0;10;0;2
17:18:55-17:19:00;138;0;1;10;127;0;0;27,6;0;0;83;0;83;0;0;16,6;0;0;53;9;44;0;0;10,6;0;0
17:19:00-17:19:05;365;0;2;13;352;0;0;73;0;19;191;0;191;0;0;38,2;0;0;172;11;161;0;0;34,4;0;19
17:19:05-17:19:10;127;0;1;3;122;0;0;25,4;0;1;79;0;79;0;0;15,8;0;0;45;2;43;0;0;9;0;1
17:19:10-17:19:15;280;0;1;3;275;0;0;56;0;2;194;0;194;0;0;38,8;0;0;83;2;81;0;0;16,6;0;2
17:19:15-17:19:20;178;0;1;23;148;5;0;35,6;0;1;95;0;95;0;0;19;0;0;80;22;53;5;0;16;0;1
17:19:20-17:19:25;131;0;1;5;126;0;0;26,2;0;5;77;0;77;0;0;15,4;0;0;53;4;49;0;0;10,6;0;5
